doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper
10.1371/journal.pcbi.1008887,33872301,MAUI (MBI Analysis User Interface)-An image processing pipeline for Multiplexed Mass Based Imaging.,method,highly_relevant,N/A,"['MIBI', 'IMC', 'multiplexed imaging', 'spatial proteomics']",weak_llm_annotated,2025-06-26T01:48:31.159972,models/gemini-2.5-flash-preview-04-17,True,False,N/A,pipeline,"['Preprocessing', 'Denoising']",MAUI,"To present MAUI, a graphical user interface-based image processing pipeline for Multiplexed Mass Based Imaging (MBI) data. MAUI facilitates pre-processing steps such as removing channel crosstalk, noise, and antibody aggregates, aiming to streamline and accelerate processing via interactive parameter tuning.",[],Not mentioned,N/A,,,
10.1016/j.cell.2020.07.005,32763154,Coordinated Cellular Neighborhoods Orchestrate Antitumoral Immunity at the Colorectal Cancer Invasive Front.,application,relevant,Colorectal cancer,"['CODEX', 'multiplexed imaging', 'spatial proteomics']",weak_llm_annotated,2025-06-26T01:48:56.823109,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Cell Segmentation', 'Clustering', 'Spatial Domain Identification', 'Cell-Cell Interaction Analysis']",N/A,"To re-engineer CODEX for FFPE tissue microarrays and apply it to characterize the spatial organization of the immune tumor microenvironment in colorectal cancer. The study aimed to identify distinct cellular neighborhoods, analyze their spatial relationships, and correlate these spatial features with patient survival outcomes.",[],Not mentioned,N/A,,,
10.1038/s41467-024-48870-5,38879602,Deep cell phenotyping and spatial analysis of multiplexed imaging with TRACERx-PHLEX.,method,highly_relevant,N/A,"['multiplexed imaging', 'IMC', 'CODEX']",weak_llm_annotated,2025-06-26T01:49:13.426536,models/gemini-2.5-flash-preview-04-17,True,False,N/A,pipeline,"['Cell Segmentation', 'Cell-type annotation', 'Spatial Analysis', 'Visualization']",TRACERx-PHLEX,"Develop a reproducible and user-friendly computational pipeline (TRACERx-PHLEX) for deep cell phenotyping and spatial analysis of multiplexed imaging. The pipeline integrates deep learning segmentation, automated cell-type annotation, and interpretable spatial analysis modules. It aims to provide an end-to-end solution for highly multiplexed data analysis.",[],Not mentioned,N/A,,,
10.1038/s41592-020-01018-x,33318659,Cellpose: a generalist algorithm for cellular segmentation.,method,highly_relevant,Varied cell types and organisms from microscopy images,['microscopy images'],weak_llm_annotated,2025-06-26T01:49:30.946373,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,['Cell Segmentation'],Cellpose,"Introduce Cellpose, a generalist deep learning algorithm for robust cellular segmentation from diverse microscopy images without requiring retraining. Demonstrate its performance on a large, varied dataset and present a 3D extension that reuses the 2D model. Provide software to support community data contributions for continuous model improvement.",[],Not mentioned,N/A,,,
10.1038/s42003-024-06480-3,38971915,A point cloud segmentation framework for image-based spatial transcriptomics.,method,highly_relevant,N/A,"['image-based spatial RNA profiling', 'spatial transcriptomics', 'In Situ Hybridization, Fluorescence']",weak_llm_annotated,2025-06-26T01:49:49.090237,models/gemini-2.5-flash-preview-04-17,True,False,N/A,framework,['Cell Segmentation'],ComSeg,"Introduces ComSeg, a point cloud segmentation framework for image-based spatial transcriptomics. It assigns detected RNA transcripts to individual cells directly, without priors on cell shape. Evaluated on simulated and experimental datasets, showing improved performance for segmentation and in-situ cell type calling.",[],GitHub link provided,https://github.com/fish-quant/ComSeg,,,
10.1038/s41587-022-01467-z,36302986,Modeling intercellular communication in tissues using spatial graphs of cells.,method,highly_relevant,N/A,['spatial molecular profiling'],weak_llm_annotated,2025-06-26T01:50:02.517131,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,"The paper introduces 'node-centric expression modeling', a method based on graph neural networks, to estimate the effects of spatial niche composition on gene expression from spatial molecular profiling data. The goal is to move beyond receptor-ligand signaling to understand intercellular communication more broadly and recover signatures of molecular communication processes.",[],Not mentioned,N/A,,,
10.1002/cyto.a.24480,34196108,Semi-automated background removal limits data loss and normalizes imaging mass cytometry data.,method,highly_relevant,Colorectal cancer,"['IMC', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T01:50:31.262500,models/gemini-2.5-flash-preview-04-17,True,False,N/A,workflow,"['Preprocessing', 'Normalization']",N/A,"Investigate the impact of signal intensity fluctuations on IMC data. Explore different normalization strategies. Propose a semi-automated background removal workflow using publicly available tools to normalize IMC data, reduce data loss, and improve sample comparison.",[],Not mentioned,N/A,,,
10.1186/s13059-021-02404-0,34154649,SPARK-X: non-parametric modeling enables scalable and robust detection of spatial expression patterns for large spatial transcriptomic studies.,method,highly_relevant,"Diverse tissues (mouse cerebellum, olfactory bulb, human ovarian neoplasms)","['spatial transcriptomics', 'Slide-seq', 'HDST']",weak_llm_annotated,2025-06-26T01:50:47.063040,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,['Spatial Gene Expression Analysis'],SPARK-X,"Introduce SPARK-X, a non-parametric method for detecting spatially expressed genes. The method is designed for large spatial transcriptomic studies, focusing on scalability, robustness, effective type I error control, and high power while providing computational savings. The goal is to identify spatial expression patterns and derive biological insights.",[],Not mentioned,N/A,,,
10.1038/s41467-023-36796-3,36859400,"Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST.",method,highly_relevant,"Multiple tissue types including brain, embryo, lymph node, and breast tumor",['spatial transcriptomics'],weak_llm_annotated,2025-06-26T01:51:33.272464,models/gemini-2.5-flash-preview-04-17,True,False,N/A,algorithm,"['Clustering', 'Integration', 'Deconvolution', 'Spatial Domain Identification', 'Batch Correction']",GraphST,"Introduce GraphST, a graph self-supervised contrastive learning method for spatial transcriptomics. Improve spatial clustering, multisample integration, and cell-type deconvolution by learning informative spot representations. Demonstrate superior performance compared to existing methods across various tissue types and platforms.",[],Not mentioned,N/A,,,
10.1038/s41587-021-00935-2,34083791,Spatial transcriptomics at subspot resolution with BayesSpace.,method,highly_relevant,"brain, melanoma, invasive ductal carcinoma, ovarian adenocarcinoma","['spatial transcriptomics', 'immunohistochemistry', 'scRNA-seq', 'histology images']",weak_llm_annotated,2025-06-26T01:51:48.555277,models/gemini-2.5-flash-preview-04-17,True,False,N/A,tool,"['Clustering', 'Resolution Enhancement']",BayesSpace,"Introduce BayesSpace, a fully Bayesian statistical method for spatial transcriptomic data. Use spatial information for resolution enhancement and clustering analysis. Benchmark BayesSpace and demonstrate its ability to resolve tissue structure and transcriptional heterogeneity at subspot resolution.",[],Not mentioned,N/A,,,
