doi,pmid,pmcid,title,year,authors,journal,abstract,mesh_terms,author_keywords,language,publication_types,scrape_date,source,query_label,status,found_via,relevance_score,annotation_score,is_seed,scibert_top_categories_by_similarity,scibert_top_pipeline_categories_by_similarity,scibert_analysis_date,relevance_status,relevance_source,category,pipeline_category,scibert_relevance,scibert_score,scibert_category,scibert_pipeline_category,kw_domain_inclusion,kw_domain_exclusion,kw_paper_types,kw_pipeline_categories,kw_tissue,kw_disease,kw_animal,kw_methods,kw_application_areas
10.1001/jama.2020.17021,32876695,PMC7489411,Effect of Dexamethasone on Days Alive and Ventilator-Free in Patients With Moderate or Severe Acute Respiratory Distress Syndrome and COVID-19: The CoDEX Randomized Clinical Trial.,2020,"['Tomazini, BM', 'Maia, IS', 'Cavalcanti, AB', 'Berwanger, O', 'Rosa, RG', 'Veiga, VC', 'Avezum, A', 'Lopes, RD', 'Bueno, FR', 'Silva, MVAO', 'Baldassare, FP', 'Costa, ELV', 'Moura, RAB', 'Honorato, MO', 'Costa, AN', 'Damiani, LP', 'Lisboa, T', 'Kawano-Dourado, L', 'Zampieri, FG', 'Olivato, GB', 'Righy, C', 'Amendola, CP', 'Roepke, RML', 'Freitas, DHM', 'Forte, DN', 'Freitas, FGR', 'Fernandes, CCF', 'Melro, LMG', 'Junior, GFS', 'Morais, DC', 'Zung, S', 'Machado, FR', 'Azevedo, LCP', 'COALITION COVID-19 Brazil III Investigators']",JAMA,"Acute respiratory distress syndrome (ARDS) due to coronavirus disease 2019 (COVID-19) is associated with substantial mortality and use of health care resources. Dexamethasone use might attenuate lung injury in these patients.
To determine whether intravenous dexamethasone increases the number of ventilator-free days among patients with COVID-19-associated ARDS.
Multicenter, randomized, open-label, clinical trial conducted in 41 intensive care units (ICUs) in Brazil. Patients with COVID-19 and moderate to severe ARDS, according to the Berlin definition, were enrolled from April 17 to June 23, 2020. Final follow-up was completed on July 21, 2020. The trial was stopped early following publication of a related study before reaching the planned sample size of 350 patients.
Twenty mg of dexamethasone intravenously daily for 5 days, 10 mg of dexamethasone daily for 5 days or until ICU discharge, plus standard care (n =151) or standard care alone (n = 148).
The primary outcome was ventilator-free days during the first 28 days, defined as being alive and free from mechanical ventilation. Secondary outcomes were all-cause mortality at 28 days, clinical status of patients at day 15 using a 6-point ordinal scale (ranging from 1, not hospitalized to 6, death), ICU-free days during the first 28 days, mechanical ventilation duration at 28 days, and Sequential Organ Failure Assessment (SOFA) scores (range, 0-24, with higher scores indicating greater organ dysfunction) at 48 hours, 72 hours, and 7 days.
A total of 299 patients (mean [SD] age, 61 [14] years; 37% women) were enrolled and all completed follow-up. Patients randomized to the dexamethasone group had a mean 6.6 ventilator-free days (95% CI, 5.0-8.2) during the first 28 days vs 4.0 ventilator-free days (95% CI, 2.9-5.4) in the standard care group (difference, 2.26; 95% CI, 0.2-4.38; P = .04). At 7 days, patients in the dexamethasone group had a mean SOFA score of 6.1 (95% CI, 5.5-6.7) vs 7.5 (95% CI, 6.9-8.1) in the standard care group (difference, -1.16; 95% CI, -1.94 to -0.38; P = .004). There was no significant difference in the prespecified secondary outcomes of all-cause mortality at 28 days, ICU-free days during the first 28 days, mechanical ventilation duration at 28 days, or the 6-point ordinal scale at 15 days. Thirty-three patients (21.9%) in the dexamethasone group vs 43 (29.1%) in the standard care group experienced secondary infections, 47 (31.1%) vs 42 (28.3%) needed insulin for glucose control, and 5 (3.3%) vs 9 (6.1%) experienced other serious adverse events.
Among patients with COVID-19 and moderate or severe ARDS, use of intravenous dexamethasone plus standard care compared with standard care alone resulted in a statistically significant increase in the number of ventilator-free days (days alive and free of mechanical ventilation) over 28 days.
ClinicalTrials.gov Identifier: NCT04327401.","['Administration, Intravenous', 'Aged', 'Anti-Inflammatory Agents', 'Betacoronavirus', 'Brazil', 'COVID-19', 'Catheter-Related Infections', 'Coronavirus Infections', 'Dexamethasone', 'Early Termination of Clinical Trials', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pandemics', 'Pneumonia, Viral', 'Respiration, Artificial', 'Respiratory Distress Syndrome', 'SARS-CoV-2', 'COVID-19 Drug Treatment']",[],eng,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",2025-07-05T13:30:46.221968,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,[],[],2025-07-08,relevant,keyword_inclusion,['Application'],[],low-relevance_by_similarity,0.6092000000000001,Application,,True,False,[],[],['Lung'],"['Normal/Healthy', 'Respiratory Disease', 'Infectious Disease']",['Human'],[],[]
10.1001/jamadermatol.2025.0288,40172874,PMC11966480,Association of Obesity and Innate Immune Markers With Resistance to Biologic Therapy in Psoriasis.,2025,"['Kim, HJ', 'Lee, EH', 'Jung, Y']",JAMA dermatology,"Currently available biologics specifically target dermal adaptive immune molecules, such as interleukin (IL)-17 and IL-23, which are crucial in the pathogenesis of psoriasis. Despite their remarkably enhanced therapeutic effects compared with those of traditional anti-inflammatory systemic medications, 25% to 50% of patients are still resistant to biologic therapy.
To delineate the inflammatory microenvironmental factors that affect sustained treatment response in patients with severe psoriasis.
A cross-sectional study was carried out including patients aged 18 years or older who visited the Gachon University Gil Medical Center dermatology clinic between January 2012 and December 2022 with plaque-type severe psoriasis with a Psoriasis Area and Severity Index score greater than 10 and body surface area larger than 10 despite conventional treatment with cyclosporine, methotrexate, acitretin, and phototherapy for longer than 3 months, and treatment with biologics for at least 24 months. Analysis was carried out from December 2023 to September 2024.
Clinical and inflammatory factors associated with sustained response to biologics therapy.
Among the 87 patients (mean [SD] age, 42.2 [12.5] years; 24 female patients and 63 male patients) included in the study, 16 (18.4%) had to switch to other biologics because of an early loss of therapeutic efficacy. Having overweight (body mass index, >25) was the only clinically relevant factor (odds ratio, 17.3; 95% CI, 3.2-434.6; P = .009). Other factors, including initial disease severity before biologics or disease duration until the first use of biologics, were not different between patients with treatment-resistant disease and those with a sustained treatment response. Spatial transcriptomics pathway analyses revealed enriched innate immune signaling and T-helper 17 cells (Th17)/IL-17 signaling pathways, with upregulated expression of innate immune- or neutrophil-related genes, such as TNFSF10, CXCL8, LCN2, S100A8, and S100A9, mainly in the epidermis. Enriched ligand-receptor interactions were observed in the IL-36 family of cytokines, antimicrobial peptides, and tumor necrosis factor (TNF) signaling. Immunofluorescence analysis showed enhanced protein expression of lipocalin 2, S100A8/A9, IL-36α, IL-36γ, IL-1RA, and TNF-related apoptosis-inducing ligand (TRAIL) in the epidermis.
This cross-sectional study found that dysregulated innate immune responses in the epidermis and heightened neutrophil activity may be responsible for decreased sustainability of therapeutic responses to biologics. Given that current biologics mainly target dermal adaptive immune-related mediators, the development of novel therapeutic strategies to target the epidermal innate immune response, including neutrophils, is warranted.","['Humans', 'Male', 'Female', 'Psoriasis', 'Adult', 'Cross-Sectional Studies', 'Middle Aged', 'Biological Products', 'Severity of Illness Index', 'Obesity', 'Immunity, Innate', 'Drug Resistance', 'Biomarkers', 'Biological Therapy', 'Dermatologic Agents', 'Treatment Outcome']",[],eng,['Journal Article'],2025-07-05T13:29:37.896165,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'application review']",[],2025-07-08,relevant,keyword_inclusion,['Application'],[],uncertain_by_similarity,0.6907,Application,,True,False,[],[],"['Blood/Immune System', 'Embryonic/Developmental Stage', 'Skin']","['Inflammatory Disease', 'Metabolic Disorder', 'Cancer (General)']",['Human'],"['Immunofluorescence(IF)', 'general_spatial_transcriptomics']",[]
10.1001/jamahealthforum.2023.4593,38153809,PMC10755612,"Access, Utilization, and Quality of Behavioral Health Integration in Medicaid Managed Care.",2023,"['McConnell, KJ', 'Edelstein, S', 'Hall, J', 'Levy, A', 'Danna, M', 'Cohen, DJ', 'Unützer, J', 'Zhu, JM', 'Lindner, S']",JAMA health forum,"Many states have moved from models that carve out to those that carve in or integrate behavioral health in their Medicaid managed care organizations (MCOs), but little evidence exists about the effect of this change.
To assess the association of the transition to integrated managed care (IMC) in Washington Medicaid with health services use, quality, health-related outcomes, and measures associated with social determinants of health.
This cohort study used difference-in-differences analyses of Washington State's 2014 to 2019 staggered rollout of IMC on claims-based measures for enrollees in Washington's Medicaid MCO. It was supplemented with interviews of 24 behavioral health agency leaders, managed care administrators, and individuals who were participating in the IMC transition. The data were analyzed between February 1, 2023, and September 30, 2023.
Claims-based measures of utilization (including specialty mental health visits and primary care visits); health-related outcomes (including self-harm events); rates of arrests, employment, and homelessness; and additional quality measures.
This cohort study included 1 454 185 individuals ages 13 to 64 years (743 668 female [51.1%]; 14 306 American Indian and Alaska Native [1.0%], 132 804 Asian American and Pacific Islander [9.1%], 112 442 Black [7.7%], 258 389 Hispanic [17.8%], and 810 304 White [55.7%] individuals). Financial integration was not associated with changes in claims-based measures of utilization and quality. Most claims-based measures of outcomes were also unchanged, although enrollees with mild or moderate mental illness experienced a slight decrease in cardiac events (-0.8%; 95% CI, -1.4 to -0.2), while enrollees with serious mental illness experienced small decreases in employment (-1.2%; 95% CI -1.9 to -0.5) and small increases in arrests (0.5%; 95% CI, 0.1 to 1.0). Interviews with key informants suggested that financial integration was perceived as an administrative change and did not have substantial implications for how practices delivered care; behavioral health agencies lacked guidance on how to integrate care in behavioral health settings and struggled with new contracts and regulatory policies that may have inhibited the ability to provide integrated care.
The results of this cohort study suggest that financial integration at the MCO level was not associated with significant changes in most measures of utilization, quality, outcomes, and social determinants of health. Additional support, including monitoring, training, and funding, may be necessary to drive delivery system changes to improve access, quality, and outcomes.","['United States', 'Humans', 'Female', 'Medicaid', 'Cohort Studies', 'Health Services', 'Managed Care Programs']",[],eng,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Research Support, N.I.H., Extramural']",2025-07-05T13:30:06.364016,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,[],[],2025-07-08,relevant,keyword_inclusion,['application review'],[],low-relevance_by_similarity,0.6187,application review,,True,False,[],[],['Heart'],['Cardiovascular Disease'],[],['Imaging_Mass_Cytometry(IMC)'],[]
10.1002/1878-0261.12904,33480449,PMC8253086,Adoptive transfer of immature myeloid cells lacking NF-κB p50 (p50-IMC) impedes the growth of MHC-matched high-risk neuroblastoma.,2021,"['Cui, C', 'Barberi, T', 'Suresh, R', 'Friedman, AD']",Molecular oncology,"High-risk neuroblastomas harbor abundant myeloid cells that suppress antitumor immunity and support tumor growth. Macrophages lacking the inhibitory NF-κB p50 subunit adopt a pro-inflammatory phenotype. We now report that murine 9464D neuroblastoma cells, which express high levels of exogenous MYCN, grow slower in syngeneic p50(f/f);Lys-Cre mice that lack p50 in macrophages and neutrophils, compared with p50(f/f) littermates. Tumors in p50(f/f);Lys-Cre mice possess increased numbers of total and activated CD4<sup>+</sup> and CD8<sup>+</sup> T cells, and depletion of both of these T-cell populations accelerates tumor growth. Anti-PD-1 T-cell checkpoint blockade, or DNA methyltransferase and histone deacetylase inhibition, further slows tumor growth. In addition, adoptive transfer of immature myeloid cells lacking NF-κB p50 (p50-IMC), generated either from the bone marrow of p50<sup>-/-</sup> mice or via nucleofection of a p50 sgRNA:Cas9 complex into wild-type hematopoietic progenitors, also slowed growth of MHC-matched 9464D tumors but not of MHC-mismatched Neuro2A tumors. These findings further validate the utility of targeting myeloid NF-κB p50 as a strategy for cancer therapy and demonstrate activity of p50-IMC generated by gene editing of syngeneic marrow cells, a cell product relevant to clinical translation.","['Adoptive Transfer', 'Animals', 'CD8-Positive T-Lymphocytes', 'Mice', 'Myeloid Cells', 'NF-kappa B', 'Neuroblastoma']","['NF-κB p50', 'adoptive transfer', 'immunotherapy', 'macrophages', 'myeloid cells', 'neuroblastoma']",eng,"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",2025-07-05T13:30:46.217485,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Technical Methods, Application', 'computational analysis - method', 'computational analysis - review']",[],2025-07-08,relevant,keyword_inclusion,['Application'],[],uncertain_by_similarity,0.7317,Application,,True,False,[],[],"['Nervous System (Brain/CNS)', 'Blood/Immune System', 'Bone/Joint']","['Neurological Disorder (General)', 'Cancer (General)']",['Rodent'],['Imaging_Mass_Cytometry(IMC)'],[]
10.1002/1878-0261.13017,34018684,PMC8732343,Multiplexed digital spatial profiling of invasive breast tumors from Black and White women.,2022,"['Omilian, AR', 'Sheng, H', 'Hong, CC', 'Bandera, EV', 'Khoury, T', 'Ambrosone, CB', 'Yao, S']",Molecular oncology,"The NanoString GeoMx digital spatial profiling is a new multiplexed platform that quantifies the abundance of tumor- and immune-related proteins in a spatially resolved manner. We performed DSP for the simultaneous assessment of 52 analytes within spatially resolved tissue compartments defined by pan-cytokeratin expression. We compared protein targets between 94 African American/Black and 65 European American/White cases, tumor and stromal tissue compartments, estrogen receptor alpha (ER)-positive and ER-negative cases, and explored potential biomarkers of survival. Of 33 analytes with robust signal for analysis, results were highly replicable. For a subset of markers, correlative analyses between DSP analytes and traditional immunohistochemistry scores revealed moderate to very strong associations between the two platforms. Similarly, DSP analytes and gene expression scores were concordant for 21 of 25 markers with overlap between the two datasets. Several analytes varied by ER status, and across the 25 immune markers surveyed, 14 had a significant inverse association with ER expression. B7 homolog 3 (B7-H3; encoded by CD276) was the only analyte to show a significant difference by race, being lower in both the tumor and stromal compartments in Black women. DSP markers that were associated with survival included CD8, CD25, CD56, CD127, EpCAM, ER, Ki-67, and STING. We conclude that DSP is an efficient tool for screening tumor- and immune-related markers in a simultaneous fashion and yields results that are concordant with established immune profiling assays. DSP immune analytes were inversely associated with ER expression, in agreement with a substantial body of previous work that documents higher immune infiltration in ER-negative breast cancers. This technology revealed that scores of the B7-H3 protein were significantly lower in breast cancers from Black women compared with White women, an intriguing finding that requires replication in independent and racially diverse female populations.","['Black or African American', 'B7 Antigens', 'Biomarkers', 'Breast Neoplasms', 'Female', 'Humans', 'Immunohistochemistry', 'Receptors, Progesterone', 'United States', 'White People']","['B7-H3', 'breast cancer', 'digital spatial profiling', 'immune infiltrates', 'multiplex', 'racial disparities']",eng,"['Journal Article', 'Research Support, N.I.H., Extramural']",2025-07-05T13:30:41.842718,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Technical Methods, Application', 'computational analysis - review', 'computational analysis - method', 'application review', 'Application review, Tecnhical review', 'General omics review', 'Benchmarking', 'application review, computational analysis - review']",[],2025-07-08,relevant,keyword_inclusion,"['Application', 'computational analysis - method']",[],relevant_by_similarity,0.9218000000000001,Application,,True,False,['computational analysis - method'],[],"['Blood/Immune System', 'Breast']",['Cancer (General)'],[],"['Immunohistochemistry(IHC)', 'GeoMx_Digital_Spatial_Profiling']",[]
10.1002/1878-0261.13727,39245631,PMC11887665,Tumor and α-SMA-expressing stromal cells in pancreatic neuroendocrine tumors have a distinct RNA profile depending on tumor grade.,2025,"['Niedra, H', 'Peculis, R', 'Saksis, R', 'Mandrika, I', 'Vilisova, S', 'Nazarovs, J', 'Breiksa, A', 'Gerina, A', 'Earl, J', 'Ruz-Caracuel, I', 'Rosas, MG', 'Pukitis, A', 'Senterjakova, N', 'Rovite, V']",Molecular oncology,"Alpha-smooth muscle actin (α-SMA) expression in the stroma is linked to the presence of cancer-associated fibroblasts and is known to correlate with worse outcomes in various tumors. In this study, using a GeoMx digital spatial profiling approach, we characterized the gene expression of the tumor and α-SMA-expressing stromal cell compartments in pancreatic neuroendocrine tumors (PanNETs). The profiling was performed on tissues from eight retrospective cases (three grade 1, four grade 2, and one grade 3). Selected regions of interest were segmented geometrically based on tissue morphology and fluorescent signals from synaptophysin and α-SMA markers. The α-SMA-expressing stromal-cell-associated genes were involved in pathways of extracellular matrix modification, whereas, in tumor cells, the gene expression profiles were associated with pathways involved in cell proliferation. The comparison of gene expression profiles across all three PanNET grades revealed that the differences between grades are not only present at the level of the tumor but also in the α-SMA-expressing stromal cells. Furthermore, the tumor cells from regions with a rich presence of adjacent α-SMA-expressing stromal cells revealed an upregulation of matrix metalloproteinase-9 (MMP9) expression in grade 3 tumors. This study provides an in-depth characterization of gene expression profiles in α-SMA-expressing stromal and tumor cells, and outlines potential crosstalk mechanisms.","['Humans', 'Pancreatic Neoplasms', 'Actins', 'Neuroendocrine Tumors', 'Stromal Cells', 'Neoplasm Grading', 'Gene Expression Regulation, Neoplastic', 'Female', 'Male', 'Middle Aged', 'Gene Expression Profiling', 'Aged', 'Matrix Metalloproteinase 9', 'RNA, Neoplasm', 'Retrospective Studies']","['Pancreatic neuroendocrine tumors', 'digital spatial profiling', 'gene expression', 'pathway enrichment analysis', 'tumor stroma']",eng,['Journal Article'],2025-07-05T13:29:52.282032,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Technical Methods, Application', 'computational analysis - method', 'Application review, Tecnhical review', 'General omics review', 'computational analysis - review', 'Benchmarking', 'application review', 'application review, computational analysis - review']",[],2025-07-08,relevant,keyword_inclusion,"['Application', 'Benchmarking']",[],relevant_by_similarity,0.8656,Application,,True,False,['Benchmarking'],[],"['Nervous System (Brain/CNS)', 'Pancreas', 'Other Tissue/Organ']",['Cancer (General)'],[],['GeoMx_Digital_Spatial_Profiling'],[]
10.1002/1878-0261.13752,39425259,PMC12161477,Combined spatially resolved metabolomics and spatial transcriptomics reveal the mechanism of RACK1-mediated fatty acid synthesis.,2025,"['Xu, L', 'Li, J', 'Ma, J', 'Hasim, A']",Molecular oncology,"Lipid metabolism is altered in rapidly proliferating cancer cells, where fatty acids (FAs) are utilized in the synthesis of sphingolipids and glycerophospholipids to produce cell membranes and signaling molecules. Receptor for activated C-kinase 1 (RACK1; also known as small ribosomal subunit protein) is an intracellular scaffolding protein involved in signaling pathways. Whether such lipid metabolism is regulated by RACK1 is unknown. Here, integrated spatially resolved metabolomics and spatial transcriptomics revealed that accumulation of lipids in cervical cancer (CC) samples correlated with overexpression of RACK1, and RACK1 promoted lipid synthesis in CC cells. Chromatin immunoprecipitation verified binding of sterol regulatory element-binding protein 1 (SREBP1) to acetyl-CoA carboxylase (ACC) and fatty acid synthase (FASN) promoters. RACK1 enhanced de novo FA synthesis by upregulating expression of sterol regulatory element binding transcription factor 1 (SREBP1) and lipogenic genes FASN and ACC1. Co-immunoprecipitation and western blotting revealed that RACK1 interacted with protein kinase B (AKT) to activate the AKT/mammalian target of rapamycin (mTOR)/SREBP1 signaling pathway to promote FA synthesis. Cell proliferation and apoptosis experiments suggested that RACK1-regulated FA synthesis is key in the progression of CC. Thus, RACK1 enhanced lipid synthesis through the AKT/mTOR/SREBP1 signaling pathway to promote the growth of CC cells. RACK1 may become a therapeutic target for CC.","['Receptors for Activated C Kinase', 'Humans', 'Fatty Acids', 'Neoplasm Proteins', 'Metabolomics', 'Female', 'Signal Transduction', 'TOR Serine-Threonine Kinases', 'Sterol Regulatory Element Binding Protein 1', 'Uterine Cervical Neoplasms', 'Proto-Oncogene Proteins c-akt', 'Transcriptome', 'Cell Line, Tumor', 'Gene Expression Regulation, Neoplastic', 'Acetyl-CoA Carboxylase', 'Fatty Acid Synthase, Type I', 'Lipid Metabolism', 'Gene Expression Profiling']","['RACK1', 'cervical cancer', 'metabolic alterations', 'spatial transcriptomics', 'spatially resolved metabolomics']",eng,['Journal Article'],2025-07-05T13:29:52.277859,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Technical Methods, Application', 'computational analysis - method', 'computational analysis - review', 'Benchmarking', 'Application review, Tecnhical review', 'General omics review', 'application review, computational analysis - review', 'application review']",[],2025-07-08,relevant,keyword_inclusion,['Application'],[],uncertain_by_similarity,0.7584000000000001,Application,,True,False,[],[],['Reproductive'],"['Metabolic Disorder', 'Cancer (General)']",[],"['other_methods', 'general_spatial_transcriptomics']",[]
10.1002/1878-0261.13815,39888143,PMC12161474,"Multiplex single-cell profiling of putative cancer stem cell markers ALDH1, SOX9, SOX2, CD44, CD133 and CD15 in endometrial cancer.",2025,"['Lien, HE', 'Hjelmeland, ME', 'Berg, HF', 'Gold, RM', 'Woie, K', 'Akslen, LA', 'Haldorsen, IS', 'Krakstad, C']",Molecular oncology,"The presence of cancer stem cells is linked to aggressive disease and higher risk of recurrence, and multiple markers have been proposed to detect cancer stem cells. However, a detailed evaluation of the expression patterns and the prognostic value of markers relevant for endometrial cancer is lacking. As organoid models are suggested to be enriched in cancer stem cells, such models may prove valuable to define tissue-specific cancer stem cells. To address this, imaging mass cytometry and multiplex single-cell analyses were performed on an endometrial cancer patient series including both tumor biopsies and corresponding patient-derived organoids. An antibody panel focused on cancer stem cell markers was used to identify cancer stem cell phenotypes. Over 70% of epithelial cells in the tumor biopsies expressed at least one putative cancer stem cell marker. We identified distinct cancer cell phenotypes with heterogeneous expression within individual patients and between patient samples. Few differences in the distribution of cancer cell phenotypes were observed between tumor biopsies and corresponding organoids. Cells expressing aldehyde dehydrogenase 1 (ALDH1) were more prevalent in high-grade tumors, while expression of CD44 was more prevalent in grade 1 tumors. Spatial analysis revealed significantly less interaction between ALDH1- and CD44-expressing cells. Gene expression data was used to further investigate selected markers. CD44 gene expression was associated with a favorable prognosis and was further validated using immunohistochemistry. High expression of CD44 was significantly associated with better survival. The general high expression of proposed stem cell markers may indicate alternative roles for these in endometrial cancer.","['Humans', 'Female', 'Endometrial Neoplasms', 'Neoplastic Stem Cells', 'Biomarkers, Tumor', 'Single-Cell Analysis', 'Aldehyde Dehydrogenase 1 Family', 'Hyaluronan Receptors', 'Retinal Dehydrogenase', 'SOXB1 Transcription Factors', 'SOX9 Transcription Factor', 'AC133 Antigen', 'Isoenzymes', 'Middle Aged', 'Aged']","['cancer stem cells', 'endometrial cancer', 'imaging mass cytometry', 'patient‐derived organoids', 'single cell', 'tumor heterogeneity']",eng,['Journal Article'],2025-07-05T13:29:42.777776,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Technical Methods, Application', 'computational analysis - review', 'Application review, Tecnhical review', 'General omics review', 'computational analysis - method', 'application review', 'Benchmarking', 'application review, computational analysis - review']",[],2025-07-08,relevant,keyword_inclusion,['Application'],[],relevant_by_similarity,0.9086000000000001,Application,,True,False,[],[],['Reproductive'],['Cancer (General)'],['Human'],"['Immunohistochemistry(IHC)', 'other_methods', 'Imaging_Mass_Cytometry(IMC)']",[]
10.1002/2056-4538.12368,38454538,PMC10920940,"A genome-wide study of gastric intramucosal neoplasia based on somatic copy number alterations, gene mutations, and mRNA expression patterns.",2024,"['Koike, Y', 'Osakabe, M', 'Sugimoto, R', 'Uesugi, N', 'Matsumoto, T', 'Suzuki, H', 'Yanagawa, N', 'Sugai, T']",The journal of pathology. Clinical research,"We performed comprehensive analyses of somatic copy number alterations (SCNAs) and gene expression profiles of gastric intramucosal neoplasia (IMN) using array-based methods in 97 intestinal-type IMNs, including 39 low-grade dysplasias (LGDs), 37 high-grade dysplasias (HGDs), and 26 intramucosal carcinomas (IMCs) with stromal invasion of the lamina propria to identify the molecular mechanism of IMN. In addition, we examined gene mutations using gene panel analyses. We used cluster analyses for exclusion of arbitrariness to identify SCNA patterns and expression profiles. IMNs were classified into two distinct subgroups (subgroups 1 and 2) based on SCNA patterns. Subgroup 1 showed a genomic stable pattern due to the low frequency of SCNAs, whereas subgroup 2 exhibited a chromosomal instability pattern due to the high frequencies of SCNAs and TP53 mutations. Interestingly, although the frequencies of LGD and HGD were significantly higher in subgroup 1 than in subgroup 2, IMC was commonly found in both types. Although the expression profiles of specific mRNAs could be used to categorise subgroups 1 and 2, no clinicopathological findings correlated with either subgroup. We examined signalling pathways specific to subgroups 1 and 2 to identify the association of each subgroup with signalling pathways based on gene ontology tree visualisation: subgroups 1 and 2 were associated with haem metabolism and chromosomal instability, respectively. These findings reveal a comprehensive genomic landscape that highlights the molecular complexity of IMNs and provide a road map to facilitate our understanding of gastric IMNs.","['Humans', 'DNA Copy Number Variations', 'Genome-Wide Association Study', 'Mutation', 'Stomach Neoplasms', 'Chromosomal Instability']","['array-based analysis', 'gastric cancer', 'gastric intramucosal neoplasia', 'genome-wide study', 'messenger RNA', 'somatic copy number alteration']",eng,['Journal Article'],2025-07-05T13:30:06.358275,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Application review, Tecnhical review', 'General omics review', 'computational analysis - review', 'Technical Methods, Application', 'computational analysis - method', 'Benchmarking', 'application review, computational analysis - review', 'application review']",[],2025-07-08,relevant,keyword_inclusion,['Application'],[],relevant_by_similarity,0.8445,Application,,True,False,[],[],['Gastrointestinal_other'],"['Metabolic Disorder', 'Cancer (General)']",[],['Imaging_Mass_Cytometry(IMC)'],[]
10.1002/2056-4538.12387,38860888,PMC11165978,Clinicopathological features and cancer transcriptomic profiling of poorly cohesive gastric carcinoma subtypes.,2024,"['Yen, HH', 'Chen, PY', 'Huang, RY', 'Jeng, JM', 'Lai, IR']",The journal of pathology. Clinical research,"Gastric poorly cohesive carcinoma (PCC) manifests with a diffuse pattern and diverse tumor cell morphologies, often indicating a more unfavorable prognosis. Recent consensus has reclassified PCC based on the proportion of signet-ring cells (SRCs) in tumors for research purposes. The two most distinct subtypes, poorly cohesive carcinoma not otherwise specified (PCC-NOS) and signet-ring cell carcinoma (SRCC), are characterized by less than 10% and more than 90% SRCs, respectively. However, research comparing the clinicopathological and transcriptomic differences between these subtypes remains limited. In this study, we conducted a comparative analysis of clinicopathological features in 55 advanced-stage PCCs, consisting of 43 PCC-NOS and 12 SRCC cases. Subsequently, 12 PCC-NOS and 5 SRCC cases were randomly selected for initial cancer-related gene expression profiling and pathway enrichment analysis using the GeoMx digital spatial profiler, followed by validation in a separate validation group comprising 16 PCC-NOS and 6 SRCC cases. These transcriptomic findings were then correlated with tumor morphology and clinicopathological data. PCC-NOS cases exhibited larger tumor size, a higher prevalence of pathological N3 disease, and a worse 1-year progression-free survival rate compared to SRCC cases. Clustering of PCC-NOS and SRCC was successfully achieved using the GeoMx Cancer Transcriptome Atlas. Among all studied genes, only MMP7 showed differential expression, with its overexpression significantly associated with the PCC-NOS subtype, increased perineural invasion, and earlier disease progression. Pathway analysis revealed significantly enriched pathways in PCC-NOS related to vesicle-mediated transport, adaptive immune systems, oncogenic signaling, and extracellular matrix organization, while SRCC displayed significant enrichment in pathways associated with respiratory electron transport and the cell cycle. In conclusion, this study compares and correlates clinicopathological features and transcriptomic data between PCC-NOS and SRCC at advanced stages, employing the latest consensus classification and a novel platform for analysis.","['Humans', 'Stomach Neoplasms', 'Male', 'Female', 'Gene Expression Profiling', 'Middle Aged', 'Aged', 'Transcriptome', 'Carcinoma, Signet Ring Cell', 'Gene Expression Regulation, Neoplastic', 'Adult', 'Biomarkers, Tumor', 'Aged, 80 and over', 'Progression-Free Survival', 'Prognosis']","['MMP7', 'diffuse type gastric cancer', 'digital spatial profiling', 'poorly cohesive carcinoma', 'signet‐ring cell', 'transcriptomic']",eng,['Journal Article'],2025-07-05T13:29:56.702436,PubMed,enhanced_query,uncurated_new,enhanced_query,,1,False,"['Application', 'Application review, Tecnhical review', 'General omics review', 'computational analysis - review', 'computational analysis - method', 'Technical Methods, Application', 'Benchmarking', 'application review', 'application review, computational analysis - review']",[],2025-07-08,relevant,keyword_inclusion,"['Application', 'computational analysis - method']",[],relevant_by_similarity,0.8938,Application,,True,False,['computational analysis - method'],[],"['Blood/Immune System', 'Gastrointestinal_other']","['Cancer (General)', 'Respiratory Disease']",[],['GeoMx_Digital_Spatial_Profiling'],[]
