doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper,is_review_paper,curated_data_modalities_used,modalities_general,tissue,disease,animal
10.1016/j.cell.2020.07.005,32763154,Coordinated Cellular Neighborhoods Orchestrate Antitumoral Immunity at the Colorectal Cancer Invasive Front.,application,relevant,Colorectal cancer,"['CODEX', 'multiplexed imaging', 'spatial proteomics']",weak_llm_annotated,2025-06-26T01:48:56.823109,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Cell Segmentation', 'Clustering', 'Spatial Domain Identification', 'Cell-Cell Interaction Analysis']",N/A,"To re-engineer CODEX for FFPE tissue microarrays and apply it to characterize the spatial organization of the immune tumor microenvironment in colorectal cancer. The study aimed to identify distinct cellular neighborhoods, analyze their spatial relationships, and correlate these spatial features with patient survival outcomes.",[],Not mentioned,N/A,,,,,"['multiplexed_CODetection_by_indEXing(CODEX)', 'irrelevant_terms', 'general_spatial_proteomics']","['irrelevant_terms', 'spatial_proteomics']",Gastrointestinal_colorectal,Cancer (General),
10.1016/j.cell.2021.12.023,35063072,Transition to invasive breast cancer is associated with progressive changes in the structure and composition of tumor stroma.,application,relevant,Breast cancer progression (DCIS to IBC),"['MIBI', 'spatial proteomics', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T02:06:30.329631,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Cell Segmentation', 'Clustering', 'Morphometrics']",N/A,"To understand the changes in the tumor microenvironment (TME) accompanying the transition from DCIS to IBC using MIBI-TOF and machine learning. The study aimed to delineate TME states, identify features associated with progression, and investigate factors influencing IBC relapse.",[],Not mentioned,N/A,,,,,"['general_spatial_proteomics', 'irrelevant_terms', 'Multiplexed_Ion_Beam_Imaging(MIBI)']","['irrelevant_terms', 'spatial_proteomics']",Breast,Cancer (General),
10.3390/cells14120939,40558566,Muscle Spatial Transcriptomic Reveals Heterogeneous Profiles in Juvenile Dermatomyositis and Persistence of Abnormal Signature After Remission.,application,relevant,Juvenile dermatomyositis muscle,"['spatial transcriptomics', 'Visium', 'morphometry', 'histology images']",weak_llm_annotated,2025-06-26T02:09:24.033507,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,['Deconvolution'],N/A,"This study aimed to investigate the spatial heterogeneity of molecular signature in the muscle of juvenile dermatomyositis (JDM) patients before and after treatment. It identified spatially distributed pathological signatures related to myofibrillar stress, muscle remodeling, and interferon signaling. The study also found persistence of these pathological signatures after two years of remission, paving the way for understanding pathophysiology and biomarker identification.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'irrelevant_terms', '10x_Genomics_Visium']","['spatial_transcriptomics', 'histology', 'irrelevant_terms']",Other Tissue/Organ,,
10.1016/j.talanta.2025.128463,40555112,Rapid elemental imaging of copper-bearing critical ores using laser-induced breakdown spectroscopy coupled with PCA and PLS-DA.,application,relevant,N/A,"['LIBS', 'EDX']",weak_llm_annotated,2025-06-26T02:11:02.318219,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Dimension Reduction', 'Clustering', 'Classification', 'Visualization']",SIMCA,"Apply Laser-Induced Breakdown Spectroscopy (LIBS) coupled with PCA and PLS-DA for rapid elemental imaging, pattern recognition, classification, and spatial analysis of copper-bearing critical ores. Visualize element spatial distribution using 2D mapping.",[],Not mentioned,N/A,,,,,['other_methods'],['other_methods'],,,
10.1111/xen.70062,40551625,Spatial Transcriptomic Analysis Reveals Increased Adipogenesis and Triggering of the Non-Alcoholic Fatty Liver Disease Pathway in Pig-to-NHP Islet Recipients' livers During the Early Post-xenotransplant Period.,application,relevant,"Liver pathology and microenvironment changes following pig-to-NHP islet xenotransplantation, focusing on adipogenesis and NAFLD pathways","['spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-26T02:11:46.736758,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification', 'Pathway Analysis']",N/A,"To analyze the hepatic pathology in pig-to-NHP islet recipients using spatial transcriptomics. To identify transcriptional changes in the liver, particularly near the islet implantation site. To reveal increased adipogenesis and NAFLD pathways in the liver post-transplantation.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images']","['spatial_transcriptomics', 'histology']",Liver,,Other Animal
10.1073/pnas.2502423122,40549915,Spatial metabolomics informs the use of clinical imaging for improved detection of cribriform prostate cancer.,application,relevant,Prostate cancer,"['spatial metabolomics', 'PET/CT', 'MRS']",weak_llm_annotated,2025-06-26T02:12:31.979776,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,Identify metabolic markers for cribriform prostate cancer using spatial metabolomics. Evaluate whether clinical imaging techniques based on these markers can differentiate cribriform from noncribriform prostate cancers.,[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'other_imaging', 'general_spatial_metabolomics']","['irrelevant_terms', 'spatial metabolomics', 'other_methods']",Prostate,Cancer (General),
10.1016/j.cellin.2025.100252,40547113,Single cell sequencing and spatial multiomics of diabetic kidney segmentation insights zonation-specific therapeutic metabolic pathways.,application,relevant,Diabetic nephropathy (DN) in kidney,"['spatial multiomics', 'single-cell transcriptomics', 'spatial metabolomics', 'spatial proteomics']",weak_llm_annotated,2025-06-26T02:12:54.659028,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To understand the spatial metabolic heterogeneity and compartmentalized pathway dysregulation in diabetic nephropathy using spatial multi-omics and single-cell transcriptomics. The study aims to identify zonation-specific metabolic pathways, region-enriched proteins, and contributing cell types, and evaluate a therapeutic intervention's effect on spatial metabolic perturbations.",[],Not mentioned,N/A,,,,,"['general_spatial_proteomics', 'general_transcriptomics', 'general_spatial_metabolomics', 'general_omics']","['spatial_proteomics', 'spatial metabolomics', 'transcriptomics', 'general_omics']",Kidney,,
10.3389/fimmu.2025.1609616,40547038,Single-cell and spatial transcriptomics reveal a stress-induced EMT-like epithelial subset driving immune activation in silica-injured lung.,application,relevant,Silica-induced lung injury in mice,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T02:13:05.062959,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Trajectory Inference', 'Spatial Gene Expression Analysis']",N/A,To investigate epithelial dynamics in silica-induced lung injury using scRNA-seq and spatial transcriptomics. The study identifies a stress-induced EMT-like epithelial subset (C0) that drives immune activation and tissue remodeling through specific cell-cell interactions.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Lung,,Rodent
10.1016/j.xcrm.2025.102200,40543508,Interferon-responsive HEVs drive tumor tertiary lymphoid structure formation and predict immunotherapy response in nasopharyngeal carcinoma.,application,relevant,Nasopharyngeal carcinoma,"['spatial transcriptomics', 'single-cell atlas']",weak_llm_annotated,2025-06-26T02:13:57.816675,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,The paper aims to reveal characteristics of tumor tertiary lymphoid structures (TLSs) in nasopharyngeal carcinoma (NPC) using spatial transcriptomics and single-cell data. It identifies interferon-responsive high endothelial venules (IFN-HEVs) linked to CXCL9 and CXCR3+CD4+ T cell recruitment within TLSs. The study correlates these IFN-HEV related phenotypes with patient survival and immunotherapy response and develops a predictive scoring system (CTRscore) for ICB outcomes.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'irrelevant_terms']","['spatial_transcriptomics', 'irrelevant_terms']",Oral/Pharyngeal/Head & Neck,Cancer (General),
10.1016/j.isci.2025.112681,40538442,Integrated spatial omics of metabolic reprogramming and the tumor microenvironment in pancreatic cancer.,application,relevant,Pancreatic cancer,"['single-cell transcriptomics', 'spatial transcriptomics', 'spatial metabolomics']",weak_llm_annotated,2025-06-26T02:16:17.376669,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Domain Identification', 'Clustering', 'Trajectory Inference', 'Cell-Cell Interaction Analysis', 'Integration with other omics']",N/A,"To analyze metabolic reprogramming and the tumor microenvironment in pancreatic cancer by integrating single-cell transcriptomics, spatial transcriptomics, and spatial metabolomics. The study aimed to visualize spatial co-localization, uncover metabolic heterogeneity, identify metabolic shifts during progression, delineate metabolic differences between regions, and characterize aberrant cell communication.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics', 'general_spatial_metabolomics']","['spatial_transcriptomics', 'transcriptomics', 'spatial metabolomics']",Pancreas,Cancer (General),
